player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type
Aaron Cresswell,457,1,8,439,6,632.9,2.85,3.21,0.36,32.82,32,0,113.0,411.6,2235,0,0,0,0,0,204687.0,24,81.0,74,457672,564161,3,28,£5.0,£4.7,£-0.3,-106489,24.83333333333333,0.1147651006711409,0.1292617449664429,0.014496644295302,1.3216107382550335,0.0,1.2885906040268458,0.0,0.0402684563758389,0.3221476510067114,Aaron Cresswell,Aaron,Cresswell,47,DEF
Aaron Hickey,510,3,2,310,5,119.8,0.58,0.96,0.38,28.13,30,0,44.2,223.6,1918,0,0,0,0,0,33477.0,23,98.0,63,76845,77735,7,26,£5.0,£4.9,£-0.1,-890,21.31111111111111,0.027215849843587,0.0450469238790406,0.0178310740354535,1.319968717413973,0.0,1.407716371220021,0.0,0.140771637122002,0.0938477580813347,Aaron Hickey,Aaron,Hickey,49,DEF
Aaron Ramsdale,15,0,9,664,14,0.0,0.02,0.02,0.0,42.31,43,0,76.2,761.4,3420,0,0,0,0,94,1273606.0,38,0.0,143,1794560,2095664,1,38,£5.0,£4.8,£-0.2,-301104,38.0,0.0005263157894736,0.0005263157894736,0.0,1.113421052631579,0.0,1.131578947368421,2.473684210526316,0.0,0.2368421052631578,Aaron Ramsdale,Aaron,Ramsdale,48,GK
Aaron Wan-Bissaka,341,0,3,308,8,221.9,0.91,2.1,1.1900000000000002,19.17,10,0,65.5,290.4,1432,0,0,0,0,0,81502.0,16,143.0,67,601062,236479,2,19,£4.5,£4.3,£-0.2,364583,15.911111111111111,0.0571927374301675,0.1319832402234637,0.0747905027932961,1.20481843575419,0.0,0.6284916201117319,0.0,0.0,0.1885474860335195,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,43,DEF
Abdoulaye Doucouré,185,2,10,263,4,261.2,1.52,4.13,2.61,32.1,27,5,80.3,315.8,1527,0,0,0,1,0,9925.0,17,229.0,76,40813,36905,6,25,£5.5,£5.3,£-0.2,3908,16.966666666666665,0.0895874263261296,0.243418467583497,0.1538310412573674,1.8919449901768173,0.2946954813359528,1.5913555992141457,0.0,0.1178781925343811,0.5893909626719057,Abdoulaye Doucouré,Abdoulaye,Doucouré,53,MID
Adam Armstrong,408,1,3,161,1,148.8,0.75,2.98,2.23,24.77,24,2,55.6,142.0,1321,0,0,0,0,0,96519.0,14,275.0,54,262428,290974,2,30,£5.5,£5.3,£-0.2,-28546,14.677777777777775,0.0510976532929598,0.2030280090840272,0.1519303557910673,1.6875851627554883,0.1362604087812263,1.635124905374716,0.0,0.0681302043906131,0.2043906131718395,Adam Armstrong,Adam,Armstrong,53,FWD
Adam Forshaw,224,0,0,78,0,62.0,0.65,0.68,0.03,11.94,13,0,11.3,49.6,473,0,0,0,0,0,4356.0,5,0.0,16,5154,8732,0,12,£4.5,£4.4,£-0.1,-3578,5.255555555555556,0.1236786469344608,0.1293868921775898,0.0057082452431289,2.271881606765328,0.0,2.473572938689218,0.0,0.0,0.0,Adam Forshaw,Adam,Forshaw,44,MID
Adam Lallana,101,1,4,146,5,186.7,1.22,2.1,0.88,10.59,10,2,48.5,144.2,717,0,0,0,0,0,12730.0,12,152.0,47,35004,43834,0,16,£5.0,£4.8,£-0.2,-8830,7.966666666666667,0.1531380753138075,0.2635983263598326,0.1104602510460251,1.3292887029288702,0.2510460251046025,1.2552301255230125,0.0,0.1255230125523012,0.502092050209205,Adam Lallana,Adam,Lallana,48,MID
Adam Smith,57,1,5,400,7,261.6,1.57,2.0700000000000003,0.5,54.01,58,0,75.7,406.2,2940,0,0,0,0,0,20618.0,34,88.0,74,71422,69103,11,37,£4.5,£4.3,£-0.2,2319,32.666666666666664,0.0480612244897959,0.0633673469387755,0.0153061224489795,1.6533673469387755,0.0,1.7755102040816328,0.0,0.0306122448979591,0.1530612244897959,Adam Smith,Adam,Smith,43,DEF
Adam Webster,108,0,3,405,9,104.0,0.45,2.17,1.72,25.8,27,0,58.4,354.0,1983,1,0,0,0,0,60874.0,23,126.0,75,243821,213381,2,27,£4.5,£4.5,£0.0,30440,22.03333333333333,0.0204236006051437,0.0984871406959152,0.0780635400907715,1.1709531013615733,0.0,1.2254160363086233,0.0,0.0,0.1361573373676248,Adam Webster,Adam,Webster,45,DEF
